Date,Account_ID,Scenario,Amount
2025-01-01,101,Actual,11335.59
2025-01-01,101,Budget,12305.5
2025-01-01,102,Actual,12484.01
2025-01-01,102,Budget,14495.49
2025-01-01,201,Actual,3457.93
2025-01-01,201,Budget,3851.24
2025-01-01,202,Actual,4392.54
2025-01-01,202,Budget,4862.27
2025-01-01,301,Actual,748.57
2025-01-01,301,Budget,676.89
2025-01-01,302,Actual,1004.66
2025-01-01,302,Budget,943.55
2025-01-01,303,Actual,1663.76
2025-01-01,303,Budget,1857.99
2025-01-01,304,Actual,1122.24
2025-01-01,304,Budget,1189.54
2025-01-01,401,Actual,438.78
2025-01-01,401,Budget,392.74
2025-01-01,402,Actual,138.98
2025-01-01,402,Budget,123.45
2025-01-02,101,Actual,8025.68
2025-01-02,101,Budget,9348.31
2025-01-02,102,Actual,9671.86
2025-01-02,102,Budget,10913.99
2025-01-02,201,Actual,4412.14
2025-01-02,201,Budget,4802.65
2025-01-02,202,Actual,4143.48
2025-01-02,202,Budget,5295.79
2025-01-02,301,Actual,2145.62
2025-01-02,301,Budget,2016.64
2025-01-02,302,Actual,537.35
2025-01-02,302,Budget,669.37
2025-01-02,303,Actual,2132.08
2025-01-02,303,Budget,2014.35
2025-01-02,304,Actual,1159.87
2025-01-02,304,Budget,1115.53
2025-01-02,401,Actual,156.42
2025-01-02,401,Budget,164.34
2025-01-02,402,Actual,243.5
2025-01-02,402,Budget,288.11
2025-01-03,101,Actual,8107.0
2025-01-03,101,Budget,10593.53
2025-01-03,102,Actual,9231.02
2025-01-03,102,Budget,8773.05
2025-01-03,201,Actual,5931.18
2025-01-03,201,Budget,5749.98
2025-01-03,202,Actual,4089.99
2025-01-03,202,Budget,5221.18
2025-01-03,301,Actual,829.92
2025-01-03,301,Budget,953.24
2025-01-03,302,Actual,2155.25
2025-01-03,302,Budget,1944.24
2025-01-03,303,Actual,622.76
2025-01-03,303,Budget,691.17
2025-01-03,304,Actual,1330.37
